title,tags,local_rate,whole_rate,total_traffic,total_patient,g_comment,b_comment,satisfaction_degree
九龙坡区妇幼保健院 ,(二甲), 第30名 ,未知,142 万次,2292 位,1, 0,100%
重庆市红十字会医院,(二甲), 第61名 ,未知,21 万次,96 位,3, 0,100%
重庆市精神卫生中心,"(三级, 特色:精神)", 第21名 ,未知,332 万次,3716 位,33, 0,100%
重庆和平医院,(三甲), 第66名 ,未知,17 万次,83 位,0, 0,0%
重庆市肺科医院,"(二甲, 特色:呼吸)", 第109名 ,未知,2 万次,0 位,0, 0,0%
重庆三博江陵医院,(二甲), 第167名 ,未知,0 次,0 位,3, 0,100%
江北区妇幼保健院,, 第116名 ,未知,1 万次,3 位,0, 0,0%
江北区中医院,(二甲), 第102名 ,未知,3 万次,71 位,2, 0,100%
华新街社区卫生服务中心,, 第98名 ,未知,3 万次,57 位,0, 0,0%
重庆市第五人民医院,(三甲), 第19名 ,未知,383 万次,7147 位,5, 0,100%
重庆市第六人民医院,(三级), 第46名 ,未知,59 万次,125 位,2, 0,100%
南岸区人民医院,(二甲), 第50名 ,未知,54 万次,846 位,8, 0,100%
南岸区中医院,(二级), 第101名 ,未知,3 万次,8 位,0, 0,0%
南岸区第二人民医院,(二级), 第165名 ,未知,0 次,0 位,0, 0,0%
重庆交通大学医院,(二级), 第67名 ,未知,15 万次,32 位,0, 0,0%
重庆市南岸区妇幼保健院,(二甲), 第96名 ,未知,4 万次,50 位,0, 0,0%
南岸区铜元局社区卫生服务中心,, 第117名 ,未知,1 万次,11 位,0, 0,0%
重庆口腔医院,"(三甲, 特色:口腔)", 第17名 ,第233名,501 万次,7413 位,331, 6,98%
重庆医科大学附属第三医院,, 第8名 ,未知,2396 万次,25713 位,565, 6,98%
重庆市渝北区中医院,(二甲), 第68名 ,未知,15 万次,4 位,4, 0,100%
渝北区人民医院,(二级), 第82名 ,未知,7 万次,40 位,2, 0,100%
渝北区妇幼保健院,(二甲), 第69名 ,未知,15 万次,593 位,4, 0,100%
渝北区第二人民医院,(二级), 第76名 ,未知,11 万次,261 位,0, 0,0%
重庆长寿化工园区医院,(二甲), 第79名 ,未知,9 万次,18 位,0, 0,0%
长寿区人民医院,(三甲), 第22名 ,未知,324 万次,1393 位,2, 1,67%
长寿区中医院,(二级), 第146名 ,未知,3357 次,0 位,1, 0,100%
长寿区第三人民医院,(二级), 第120名 ,未知,1 万次,7 位,0, 0,0%
忠县三汇中心卫生院,, 第107名 ,未知,2 万次,25 位,0, 0,0%
巴南区人民医院,(二甲), 第54名 ,未知,35 万次,379 位,6, 0,100%
重庆花溪医院,(二级), 第91名 ,未知,6 万次,5 位,1, 0,100%
重庆市第七人民医院,(二级), 第103名 ,未知,3 万次,19 位,0, 0,0%
巴南区中医院,(二甲), 第97名 ,未知,3 万次,62 位,1, 0,100%
重庆市巴南区精神卫生中心,(二级), 第157名 ,未知,1156 次,0 位,0, 0,0%
重庆市綦江区人民医院,(三甲), 第45名 ,未知,62 万次,425 位,31, 0,100%
重庆綦江区中医院,(二级), 第78名 ,未知,9 万次,16 位,0, 0,0%
重庆松藻煤电公司总医院,(二级), 第122名 ,未知,9075 次,0 位,0, 0,0%
万盛区人民医院,(二甲), 第148名 ,未知,2883 次,0 位,0, 0,0%
綦江区妇幼保健院,(二级), 第153名 ,未知,1914 次,0 位,0, 0,0%
江津区中心医院,(三甲), 第57名 ,未知,29 万次,321 位,4, 1,80%
江津第二人民医院,(二级), 第31名 ,未知,132 万次,435 位,0, 0,0%
江津区中医院,(三甲), 第131名 ,未知,5574 次,2 位,1, 0,100%
江津区第三人民医院,(一甲), 第154名 ,未知,1812 次,0 位,0, 0,0%
江津妇幼保健院,(二甲), 第151名 ,未知,2310 次,2 位,0, 0,0%
重庆市梁平区人民医院,(二甲), 第26名 ,未知,190 万次,3467 位,49, 0,100%
梁平妇幼保健院,(二甲), 第123名 ,未知,8424 次,14 位,1, 0,100%
梁平县碧山镇卫生院,(一级), 第124名 ,未知,7957 次,0 位,0, 0,0%
梁平区中医医院,(二甲), 第150名 ,未知,2311 次,0 位,0, 0,0%
重庆荣昌区妇幼保健院,(二甲), 第14名 ,未知,846 万次,16446 位,13, 1,93%
荣昌中医院,(二甲), 第100名 ,未知,3 万次,109 位,5, 0,100%
荣昌区人民医院,(二甲), 第70名 ,未知,14 万次,205 位,7, 0,100%
荣昌区仁义镇中心卫生院,, 第145名 ,未知,3545 次,0 位,0, 0,0%
涪陵中心医院,(三甲), 第23名 ,未知,292 万次,4287 位,19, 2,90%
涪陵区中医院,(二甲), 第35名 ,未知,122 万次,1329 位,0, 0,0%
涪陵妇幼医院,(二甲), 第166名 ,未知,0 次,0 位,1, 0,100%
涪陵人民医院,(二级), 第51名 ,未知,40 万次,112 位,0, 0,0%
重庆市潼南区人民医院,(二甲), 第104名 ,未知,2 万次,8 位,1, 0,100%
潼南区妇幼保健院,(二甲), 第114名 ,未知,1 万次,22 位,0, 0,0%
新胜镇卫生院 ,, 第129名 ,未知,6466 次,4 位,0, 0,0%
潼南区中医院,(二甲), 第81名 ,未知,7 万次,12 位,0, 0,0%
重庆医科大学附属永川医院,(三甲), 第20名 ,未知,345 万次,5373 位,35, 0,97%
永川中医院,(三甲), 第95名 ,未知,4 万次,80 位,2, 0,100%
重庆市永川区人民医院,(二甲), 第128名 ,未知,6957 次,0 位,0, 0,0%
永川区妇幼保健院,(二甲), 第133名 ,未知,5441 次,25 位,0, 0,0%
云阳县人民医院,(二甲), 第75名 ,未知,12 万次,364 位,5, 0,100%
云阳县双江人民医院,(二级), 第134名 ,未知,5216 次,0 位,0, 0,0%
云阳县妇幼保健院,(二甲), 第143名 ,未知,3796 次,3 位,0, 0,0%
璧山人民医院,(二甲), 第13名 ,未知,995 万次,3662 位,15, 1,88%
璧山区中医院,(二甲), 第121名 ,未知,9924 次,9 位,0, 0,0%
璧山区丁家医院,(一甲), 第147名 ,未知,3077 次,0 位,0, 0,0%
黔江中心医院,(三甲), 第48名 ,未知,57 万次,968 位,35, 0,100%
黔江民族医院,(二级), 第115名 ,未知,1 万次,23 位,2, 0,100%
黔江区中医院,(二甲), 第156名 ,未知,1240 次,0 位,0, 0,0%
重庆市合川区人民医院,(二甲), 第18名 ,未知,390 万次,6673 位,20, 0,100%
重庆市合川区中西医结合医院,(二级), 第105名 ,未知,2 万次,34 位,2, 0,100%
合川区清平中心卫生院,(一甲), 第119名 ,未知,1 万次,12 位,0, 0,0%
铜梁区中医院,(三甲), 第53名 ,未知,38 万次,268 位,3, 0,100%
重庆市铜梁区人民医院,(二甲), 第28名 ,未知,185 万次,4207 位,6, 0,100%
重庆市铜梁区妇幼保健院,(二甲), 第88名 ,未知,6 万次,80 位,0, 0,0%
秀山妇幼保健院,(二级), 第106名 ,未知,2 万次,53 位,0, 0,0%
秀山县人民医院,(二甲), 第159名 ,未知,567 次,0 位,0, 0,0%
巫山县人民医院,(二甲), 第136名 ,未知,5043 次,4 位,1, 0,100%
巫山县中医院,(二甲), 第113名 ,未知,2 万次,24 位,5, 0,100%
大渡口区人民医院 ,(二甲), 第112名 ,未知,2 万次,1 位,0, 0,0%
重钢总医院,(二甲), 第142名 ,未知,3922 次,0 位,2, 0,100%
大足区人民医院,(三甲), 第64名 ,未知,18 万次,62 位,11, 1,85%
大足区中医院,(二甲), 第162名 ,未知,148 次,0 位,0, 0,0%
开州区人民医院,(三甲), 第60名 ,未知,23 万次,199 位,23, 1,96%
开州区中医院,(二甲), 第139名 ,未知,4204 次,0 位,0, 0,0%
忠县人民医院,(二甲), 第73名 ,未知,13 万次,255 位,3, 0,100%
忠县中医院,(二甲), 第77名 ,未知,10 万次,229 位,28, 0,100%
重医大附一院金山医院,(三甲), 第84名 ,未知,7 万次,116 位,9, 0,100%
重庆北部新区第一人民医院,(二甲), 第90名 ,未知,6 万次,55 位,1, 0,100%
奉节县人民医院,(二甲), 第56名 ,未知,32 万次,340 位,5, 0,100%
奉节县中医院,(二甲), 第137名 ,未知,4681 次,0 位,0, 0,0%
重庆市第九人民医院,(三甲), 第16名 ,未知,545 万次,3894 位,26, 0,100%
重庆北碚区中医院,(三甲), 第71名 ,未知,14 万次,120 位,3, 0,100%
彭水县中医院,(二甲), 第108名 ,未知,2 万次,54 位,0, 0,0%
重庆市南川区中医医院,(二级), 第149名 ,未知,2368 次,0 位,0, 0,0%
铜梁区虎峰中心卫生院,, 第86名 ,未知,6 万次,121 位,0, 0,0%
郁山镇中心卫生院,, 第144名 ,未知,3752 次,2 位,0, 0,0%
武隆区人民医院,(二甲), 第127名 ,未知,6978 次,4 位,0, 0,0%
重庆市高新区人民医院,(二级), 第111名 ,未知,2 万次,22 位,0, 0,0%
丰都县中医院,(二甲), 第118名 ,未知,1 万次,14 位,1, 0,100%
云阳县中医院,(三甲), 第32名 ,未知,129 万次,552 位,8, 0,100%
南川区人民医院,(三甲), 第83名 ,未知,7 万次,114 位,2, 0,100%
南桐总医院,(二甲), 第55名 ,未知,34 万次,667 位,1, 0,100%
垫江县中医院,(三甲), 第72名 ,未知,13 万次,163 位,1, 0,100%
酉阳县人民医院,(二甲), 第59名 ,未知,26 万次,477 位,8, 0,100%
巫溪县人民医院,(二甲), 第174名 ,未知,0 次,0 位,2, 0,100%
垫江县人民医院,(三甲), 第36名 ,未知,111 万次,1763 位,56, 1,98%
石柱县人民医院,(二甲), 第62名 ,未知,20 万次,118 位,2, 0,100%
丰都县人民医院,(二甲), 第93名 ,未知,4 万次,5 位,0, 0,0%
万盛经开区中医院,(二级), 第160名 ,未知,417 次,0 位,0, 0,0%
彭水县人民医院,(二甲), 第126名 ,未知,7309 次,1 位,0, 0,0%
